i,x,y,z,a1,a2,a3,g1,g2,g3,depth,width
1.0,-0.03590222577410906,-0.5980571892523713,-0.645577042291758,0.2331160805078944,0.9354853690108336,-0.2655635844299844,-0.948587516310663,0.15862811992888165,-0.2738956798991106,0.026212559499232964,0.07670814470103271
0.0,0.011868661475661766,-0.0932792134190045,0.794332769378751,-0.12397308571755808,0.4064495632692883,-0.9052234124987445,0.9875497752805124,-0.03848309839199778,-0.1525270221356258,0.010976973315556504,0.07298360665850981
0.0,-0.0088250106721086,0.496256451859393,0.792901762514599,0.0007651682400245767,-0.01218445761541428,-0.9999254739780272,0.9973800126829161,0.07234014316176363,-0.00011827071355303108,0.019380036070784864,0.07081452234458047
0.0,-0.014719983082388113,0.4098629970494471,-0.7956309322408076,0.10021461294505629,-0.6210462204461059,0.7773407383007013,-0.9796690078797998,-0.19806176651608937,-0.031940125928599516,0.012239517917822358,0.07640830999481796
0.0,0.013744737862253883,0.3890442048303802,-0.7964718855000273,-0.035790369117841794,0.1578593251116681,0.9868127902260377,0.9873667740173115,-0.14693062829405767,0.05931478766514386,0.030691740651096675,0.07609098334218797
1.0,0.016889713612880344,0.600232097894759,0.19044504708375865,-0.0660993698373018,-0.9962396863931737,-0.056012146560750264,0.9882838770103587,-0.05762541033048452,-0.1413304302888027,0.02794576921182859,0.07593509339847779
0.0,0.011639797176161083,-0.6054665338016546,0.31151464965556724,-0.12592897187014196,0.9884923136977495,-0.0838143174177258,0.9864373087629741,0.1337360935446944,0.09516350752187447,0.015996267646049188,0.07330306834821904
1.0,0.016021527299994277,0.5963019706991868,0.3670341677740977,-0.14773937781323865,-0.9486284507884277,-0.2797805186179068,0.9875435722585219,-0.15697668977893436,0.010770875402030589,0.009754730152555353,0.07365427258085305
1.0,-0.012708239521826955,-0.5981984130034692,-0.6165503629995706,0.04975070755520383,0.5513089986026032,0.8328164594660407,-0.9975526883076381,0.06844440179028577,0.014282783824386025,0.014614005179819518,0.07058017272571944
0.0,-0.0320897952652726,-0.5968062734480406,-0.3856121388854219,0.11682664343196342,0.9107813408310619,-0.39601626807290935,-0.9931160273760764,0.1105422248498372,-0.03874238885263359,0.025396128528723867,0.07359382743568985
0.0,-0.0012695060155547516,-0.2996697293218749,0.7947831621179537,-0.02048795421007043,-0.07438611004195708,-0.9970190320977389,0.9978764219777538,0.06014967878600554,-0.02499325114539088,0.03210126043546699,0.07185836779211226
0.0,-0.04132664433973041,-0.6022746960254173,0.07510777228692041,0.1547343697100122,0.9480414408038724,-0.27798327530440287,0.986206077527636,-0.16495997961633552,-0.01363003200777807,0.016943727019179865,0.07238342866651258
0.0,-0.01656174279037471,-0.6043998099213926,0.5955887164179556,0.03045743362721387,0.9990408438370539,-0.03146008712943282,0.9940845880433226,-0.033559087290630285,-0.10329385013135112,0.011052495606241702,0.0703663596622362
1.0,-0.0057788383519791825,0.27979352661185475,0.794383106755999,-0.040821521538907335,0.7077633245821011,-0.7052692250167591,0.9914748684459872,0.11610802680754484,0.05913130601357436,0.005769709108520904,0.07199536353922237
0.0,0.010930576910721284,0.5947684991046842,0.3943308624493249,-0.06565164337918167,-0.9697864100534672,0.23495569922268694,0.9971416934317152,-0.0725848530759215,-0.020973371786115136,0.019254832467447983,0.07276282193593986
1.0,-0.031226518168725306,-0.4321943404613419,0.7960814887994004,0.10311277691154369,0.3724369336121902,-0.9223114906142822,0.9946628100376043,-0.04205266573335732,0.09422031433197123,0.022457157912123413,0.07090194505848815
0.0,-0.019906711413480625,-0.4906788673675848,0.7968374294963988,-0.026322440565583763,0.1114714408090323,-0.9934189685156156,-0.9771343286005937,0.2068749973946145,0.04910437173251579,0.015182745156669899,0.07055451202444979
0.0,-0.013681410029850785,-0.5989221986726491,-0.13822392661534738,0.03881301897947004,0.9893245463076035,-0.1404652684151994,0.9865527011887147,-0.01560441403368748,0.16269686548890872,0.02426294458892093,0.0754689650982162
1.0,-0.07287227581951401,-0.10613633487721744,0.7955110284876356,0.32397319465239355,0.2442765372985572,-0.913985964045482,-0.9384838624782731,-0.03908827324380855,-0.3431036968070726,0.017731637120764476,0.07638371768721892
0.0,0.028315300504113107,-0.598564566633544,-0.5816695154064928,-0.1237490458177849,0.9297648690823175,-0.34673255093736033,0.9918154228675223,0.12696060910081963,-0.013534056999545074,0.01986159730398608,0.07370255548287802
0.0,0.004751208206229496,0.3321413253184221,-0.7974648756599046,-0.010302634304596233,0.03343081225451816,0.9993879309449303,0.9985933336261503,-0.051641336824260975,0.01202191201162718,0.02089396362500842,0.07513501938435102
1.0,0.002774717964601111,-0.605380575815065,0.4307961305122192,-0.0981177561344782,0.9369150357639364,-0.33550427969043395,-0.9951027251438295,-0.09642476285234522,0.02174468947106839,0.01322716327141813,0.07151054914196042
1.0,0.010419528019669512,0.27698983871350363,-0.7985635495711639,-0.05994860556270884,-0.20936750845035226,0.975997649124412,-0.9903283847066997,-0.11008583632316515,-0.08444405891031512,0.019918470779337685,0.0769704013643519
1.0,-0.006442877784309033,0.5833244965603009,0.5465780002742409,0.01835251322472886,-0.9985458608509892,0.05068874663762546,0.9952159610842582,0.023110044966644816,0.09492690148096167,0.015677904896396797,0.07287807346760693
1.0,-0.04760228329943601,-0.604912824127783,0.11302243385204554,0.1637601697652557,0.9842386687131475,0.06675964206184876,0.9790704842822113,-0.17044414986204703,0.11121950631611482,0.023013965173790295,0.07474020416933073
